day,prop_fail,adj,param
1,0,0.4,lag
2,0,0.4,lag
3,0,0.4,lag
4,0,0.4,lag
5,1.00E-04,0.4,lag
6,6.00E-04,0.4,lag
7,0.0011,0.4,lag
8,0.0025,0.4,lag
9,0.0041,0.4,lag
10,0.0098,0.4,lag
11,0.0235,0.4,lag
12,0.0617,0.4,lag
13,0.117,0.4,lag
14,0.2047,0.4,lag
15,0.3178,0.4,lag
16,0.4161,0.4,lag
17,0.5003,0.4,lag
18,0.5673,0.4,lag
19,0.6176,0.4,lag
20,0.6606,0.4,lag
21,0.6939,0.4,lag
22,0.7191,0.4,lag
1,0,0.6,lag
2,0,0.6,lag
3,0,0.6,lag
4,0,0.6,lag
5,1.00E-04,0.6,lag
6,6.00E-04,0.6,lag
7,0.001,0.6,lag
8,0.0024,0.6,lag
9,0.0034,0.6,lag
10,0.0083,0.6,lag
11,0.0219,0.6,lag
12,0.0583,0.6,lag
13,0.1089,0.6,lag
14,0.1863,0.6,lag
15,0.289,0.6,lag
16,0.3821,0.6,lag
17,0.4542,0.6,lag
18,0.5207,0.6,lag
19,0.5714,0.6,lag
20,0.6144,0.6,lag
21,0.6537,0.6,lag
22,0.6839,0.6,lag
1,0,0.8,lag
2,0,0.8,lag
3,0,0.8,lag
4,0,0.8,lag
5,1.00E-04,0.8,lag
6,5.00E-04,0.8,lag
7,9.00E-04,0.8,lag
8,0.0021,0.8,lag
9,0.0033,0.8,lag
10,0.0076,0.8,lag
11,0.0208,0.8,lag
12,0.0559,0.8,lag
13,0.1032,0.8,lag
14,0.1732,0.8,lag
15,0.266,0.8,lag
16,0.3545,0.8,lag
17,0.4254,0.8,lag
18,0.485,0.8,lag
19,0.5371,0.8,lag
20,0.5783,0.8,lag
21,0.6155,0.8,lag
22,0.6501,0.8,lag
1,0,1,lag
2,0,1,lag
3,0,1,lag
4,0,1,lag
5,1.00E-04,1,lag
6,5.00E-04,1,lag
7,9.00E-04,1,lag
8,0.0018,1,lag
9,0.0031,1,lag
10,0.0075,1,lag
11,0.02,1,lag
12,0.0537,1,lag
13,0.0975,1,lag
14,0.1647,1,lag
15,0.2503,1,lag
16,0.3317,1,lag
17,0.4012,1,lag
18,0.4583,1,lag
19,0.5049,1,lag
20,0.5487,1,lag
21,0.5849,1,lag
22,0.6171,1,lag
1,0,1.2,lag
2,0,1.2,lag
3,0,1.2,lag
4,0,1.2,lag
5,1.00E-04,1.2,lag
6,5.00E-04,1.2,lag
7,9.00E-04,1.2,lag
8,0.0018,1.2,lag
9,0.0027,1.2,lag
10,0.007,1.2,lag
11,0.0193,1.2,lag
12,0.052,1.2,lag
13,0.0932,1.2,lag
14,0.156,1.2,lag
15,0.236,1.2,lag
16,0.3125,1.2,lag
17,0.3804,1.2,lag
18,0.4368,1.2,lag
19,0.4813,1.2,lag
20,0.5224,1.2,lag
21,0.5608,1.2,lag
22,0.5918,1.2,lag
1,0,1.4,lag
2,0,1.4,lag
3,0,1.4,lag
4,0,1.4,lag
5,1.00E-04,1.4,lag
6,5.00E-04,1.4,lag
7,8.00E-04,1.4,lag
8,0.0018,1.4,lag
9,0.0026,1.4,lag
10,0.0069,1.4,lag
11,0.0188,1.4,lag
12,0.0511,1.4,lag
13,0.0907,1.4,lag
14,0.151,1.4,lag
15,0.2264,1.4,lag
16,0.2982,1.4,lag
17,0.364,1.4,lag
18,0.4178,1.4,lag
19,0.4639,1.4,lag
20,0.5003,1.4,lag
21,0.5364,1.4,lag
22,0.5712,1.4,lag
1,0,1.6,lag
2,0,1.6,lag
3,0,1.6,lag
4,0,1.6,lag
5,1.00E-04,1.6,lag
6,5.00E-04,1.6,lag
7,8.00E-04,1.6,lag
8,0.0018,1.6,lag
9,0.0025,1.6,lag
10,0.0066,1.6,lag
11,0.0186,1.6,lag
12,0.0494,1.6,lag
13,0.0883,1.6,lag
14,0.1462,1.6,lag
15,0.2156,1.6,lag
16,0.2867,1.6,lag
17,0.3492,1.6,lag
18,0.3998,1.6,lag
19,0.4459,1.6,lag
20,0.4847,1.6,lag
21,0.517,1.6,lag
22,0.5492,1.6,lag