Sequenced isolates,AT,Original_ID
M9-0535,1,0919A-B-D0-GNCV-1
M9-0538,1,0919A-B-D0-GNCV-4
M9-0560,1,0919A-B-D0-APC-2
M9-0630,1,0919A-M-D4-GN-3
S12-0019,1,0919A-E-D4-GN-1
M9-0536,2,0919A-B-D0-GNCV-2
M9-0537,3,0919A-B-D0-GNCV-3
M9-0548,3,0919A-E-D0-GNCV-3
M9-0539,4,0919A-B-D0-GNCV-5
M9-0540,5,0919A-M-D0-GNCV-1
S12-0011,5,0919A-E-D10-GNCV-4
M9-0541,6,0919A-M-D0-GNCV-2
M9-0544,6,0919A-M-D0-GNCV-5
M9-0597,6,0919A-E-D10-B24-5
M9-0542,7,0919A-M-D0-GNCV-3
S12-0061,7,0919A-M-D20-APC-4
M9-0546,8,0919A-E-D0-GNCV-1
S12-0015,8,0919A-E-D4-PC-4
M9-0547,9,0919A-E-D0-GNCV-2
M9-0549,10,0919A-E-D0-GNCV-4
M9-0550,11,0919A-E-D0-GNCV-5
M9-0553,11,0919A-B-D4-B24-2
M9-0556,11,0919A-M-D4-B24-2
M9-0584,11,0919A-B-D10-B24-1
M9-0594,11,0919A-E-D10-B24-2
M9-0608,11,0919A-B-D0-PC-2
M9-0617,11,0919A-B-D4-APC-3
M9-0628,11,0919A-M-D4-APC-4
M9-0645,11,0919A-B-D10-APC-1
S12-0005,11,0919A-M-D10-APC-1
M9-0552,12,0919A-B-D4-B24-1
M9-0555,13,0919A-M-D4-B24-1
M9-0557,14,0919A-E-D4-B24-1
M9-0572,14,0919A-B-D0-GN-2
M9-0581,14,0919A-E-D0-GN-3
M9-0605,14,0919A-E-D20-B24-1
M9-0610,14,0919A-M-D0-PC-1
S12-0020,14,0919A-M-D4-GNCV-1
S12-0024,14,0919A-B-D4-GN-3
S12-0069,14,0919A-E-D20-GN-2
M9-0558,15,0919A-E-D4-B24-2
M9-0588,15,0919A-M-D10-B24-1
M9-0599,15,0919A-B-D20-B24-2
M9-0602,15,0919A-M-D20-B24-2
M9-0606,15,0919A-E-D20-B24-2
M9-0636,15,0919A-E-D4-APC-1
M9-0641,15,0919A-E-D4-PC-1
M9-0646,15,0919A-B-D10-APC-2
M9-0651,15,0919A-M-D10-APC-2
S12-0007,15,0919A-E-D10-GN-3
S12-0014,15,0919A-M-D4-GNCV-4
S12-0016,15,0919A-E-D4-GNCV-4
S12-0051,15,0919A-B-D20-APC-1
S12-0060,15,0919A-M-D20-APC-2
S12-0067,15,0919A-E-D20-APC-4
S12-0071,15,0919A-E-D20-PC-2
M9-0559,16,0919A-B-D0-APC-1
M9-0589,16,0919A-M-D10-B24-2
M9-0563,17,0919A-M-D0-APC-1
M9-0564,18,0919A-M-D0-APC-2
M9-0598,18,0919A-B-D20-B24-1
M9-0565,19,0919A-M-D0-APC-3
M9-0580,20,0919A-E-D0-GN-2
M9-0583,21,0919A-E-D4-B24-3
M9-0596,20,0919A-E-D10-B24-4
M9-0585,22,0919A-B-D10-B24-2
M9-0590,23,0919A-M-D10-B24-3
M9-0595,23,0919A-E-D10-B24-3
M9-0591,24,0919A-M-D10-B24-4
M9-0593,25,0919A-E-D10-B24-1
M9-0603,26,0919A-M-D20-B24-3
M9-0604,27,0919A-M-D20-B24-4
M9-0607,28,0919A-E-D20-B24-3
M9-0623,29,0919A-B-D4-PC-3
M9-0632,30,0919A-M-D4-PC-1
S12-0037,30,0919A-B-D10-PC-3
M9-0634,31,0919A-M-D4-PC-4
S12-0004,32,0919A-M-D10-GNCV-4
S12-0025,33,0919A-M-D0-PC-4
S12-0048,34,0919A-B-D10-GN-4
S12-0063,35,0919A-M-D20-GN-1
S12-0075,35,0919A-B-D20-BHI48-8
S12-0074,36,0919A-E-D20-BHI48-6
S12-0077,37,0919A-B-D20-BHI48-6
S12-0080,38,0919A-E-D4-PC-3
S12-0085,39,0919A-E-D10-GN-4
S12-0087,40,0919A-B-D20-GN-3
S12-0093,41,0919A-E-D10-PC-4