Plate_Id,Day_0,Day_3,Day_6
M9_0536_1,2920,560000,19100000
M9_0536_2,2370,840000,44000000
M9_0536_3,2220,790000,32000000
M9_0537_1,480,1000000,194000000
M9_0537_2,630,1560000,194000000
M9_0537_3,740,1010000,195000000
M9_0538_1,640,56000,106000000
M9_0538_2,1050,69000,100000000
M9_0538_3,690,84000,112000000
M9_0540_1,540,37000,3700000
M9_0540_2,1000,44000,4000000
M9_0540_3,780,21100,740000
M9_0610_1,470,200000,370000000
M9_0610_2,710,270000,350000000
M9_0610_3,700,290000,400000000
M9_0617_1,5110,12850000,290000000
M9_0617_2,6660,12580000,550000000
M9_0617_3,7120,9260000,560000000
S12_0061_1,1170,4310000,10000000
S12_0061_2,1120,4670000,10000000
S12_0061_3,890,3190000,10000000
S12_0074_1,8100,7150000,163000000
S12_0074_2,5160,5440000,242000000
S12_0074_3,11440,3840000,270000000
M9_0544_1,2720,6000000,75000000
M9_0544_2,3050,5900000,89000000
M9_0544_3,3620,8800000,109000000
M9_0547_1,930,17000,3000000
M9_0547_2,840,16000,2100000
M9_0547_3,1670,53000,3000000
M9_0550_1,1710,1800000,89000000
M9_0550_2,2000,2600000,101000000
M9_0550_3,1890,2200000,73000000
M9_0606_1,4080,5100000,170000000
M9_0606_2,3760,5500000,340000000
M9_0606_3,4280,4700000,170000000
S12_0004_1,2190,3500000,103000000
S12_0004_2,1590,4200000,50000000
S12_0004_3,1490,4400000,81000000
S12_0025_1,830,146000,41000000
S12_0025_2,960,156000,37000000
S12_0025_3,830,225000,56000000
S12_0048_1,1420,6700000,240000000
S12_0048_2,1680,13400000,150000000
S12_0048_3,2550,7000000,160000000
S12_0063_1,4150,5300000,31000000
S12_0063_2,3470,2900000,36000000
S12_0063_3,3720,2590000,14000000
S12_0116_1,4770,188000,6400000
S12_0116_2,4880,310000,7600000
S12_0116_3,5650,366000,13800000
S12_0120_1,7000,41000,50000
S12_0120_2,4140,25400,70000
S12_0120_3,3120,22500,50000
S12_0126_1,870,51000,133000000
S12_0126_2,560,21000,95000000
S12_0126_3,470,20000,130000000
S12_0132_1,580,23000,1110000
S12_0132_2,710,31000,870000
S12_0132_3,800,17100,590000
S12_0150_1,670,25000,6100000
S12_0150_2,700,30000,3200000
S12_0150_3,540,36000,4400000
S12_0156_1,2460,780000,90000000
S12_0156_2,3010,1040000,70000000
S12_0156_3,2690,1130000,100000000
S12_0173_1,1030,230000,25000000
S12_0173_2,790,300000,49000000
S12_0173_3,720,260000,24000000
S12_0184_1,1420,870000,14000000
S12_0184_2,1930,510000,9000000
S12_0184_3,1870,710000,15000000
S12_0139_1,1070,170000,18100000
S12_0139_2,810,220000,17000000
S12_0139_3,1310,340000,17100000
S12_0188_1,1360,4000,10000
S12_0188_2,1140,5000,22000
S12_0188_3,1310,4000,27000
S12_0195_1,930,6000,32000
S12_0195_2,1120,2000,23000
S12_0195_3,1300,3000,17000
S12_0141_1,3950,1950000,73000000
S12_0141_2,5270,2330000,78000000
S12_0141_3,5130,2340000,92000000
S12_0166_1,1260,6100000,58000000
S12_0166_2,460,4700000,115000000
S12_0166_3,920,2700000,52000000
S12_0151_1,670,2300,4120000
S12_0151_2,580,4200,3280000
S12_0151_3,630,4000,2510000
S12_0163_1,1360,16000,65700000
S12_0163_2,2120,68000,76500000
S12_0163_3,3460,99000,63900000
S12_0180_1,1080,4600000,20800000
S12_0180_2,1010,2700000,26800000
S12_0180_3,810,2900000,20900000